movie,sentence,score
더 배트맨,다크 배트맨은 이 영화인거 같다,10
올빼미,기대안하고봤는데 보는내내 눈을 뗄수없을정도로 몰입력 미쳤고 진짜재밌음 ㅋㅋㅋ 보면서 계속 심장빠르게 뛰면서 본 영화...연기도 대박이고..재밌어서2번봤습니다,10
아바타: 물의 길,22년의 마지막 일요일 혼영3D안경 때문에 어지러웠지만 VN생각도 GAIN생각도 별로 안낫고영화 즐겁게 봤네 훗날 넌 뭐하니DY는 됏니? 열심히 살자 ,10
아바타: 물의 길,솔직히 이건 많은 것을 담고 있음ㅇㅇ 둘째의 서러움과 첫째의 부담감과 어머니로써의 어쩔 수 없는 자기 자식 사랑... 액션은 말할것도 없이 대단했고 진짜 아바타가 아바타했다...,10
이상한 나라의 수학자,훈훈하게 볼수 있었어요,6
죽여주는 여자,"무엇보다 고령화사회로 접어드는대한민국의 단면을 보여주는 영화였고,충분히 비일비재하게 일어날법한 일이다라는 생각을 하면서 보았습니다.",10
영웅,큰 기대 없이 볼만해용,6
아바타: 물의 길,잘짜인 스토리 라인 그리고 감동적인 스토리. ,10
그린치,크리스마스마다 보는데 너무 재밋서여 제 최애영화 감동적이구 재미도 있어서 가족들이랑 보기두 좋아요,10
나이브스 아웃,2편을 보고 다시 왔습니다. 1편이 정말 재밌다고 생각했는데 2편을 보니 그 생각이 확고해지는군요,10
아바타: 물의 길,영상미는 정말 최고고 연출이나 연기도 좋습니다 스토리가 조금 아쉽긴 하지만 5부작 기획을 위한 것이라고 생각하면 나쁘지 않은 것 같네요,10
인사이드 아웃,행복하고 싶다면 슬픔을 가두지 말고 함께하세요,10
올빼미,류준열배우님 연기 때문에 몰입이 제대로 되는 영화였습니다 ! 오랜만에 좋은 영화 봤어요 !!!감사해요 ㅎㅎ,10
스펜서,여주의 고뇌와 갈등 인상적,6
귀못,다정아.. 좀 나와봐..,4
영웅,진짜 나윤희 님 연기는 반박불가 레전드다... 대단하심..ㅠㅠㅜㅠ 박진주 님도 새로 봤음!!,10
영웅,정성화님의 뜨거운 열연…정성화님 아니면 이영화는 표현 할 수 없다…또 마지막 노래씬은 정말 평생 잊을 수 없을 것 같다 ,10
귀못,여주 진짜 예쁘다 내용은 그닥입니다,10
아바타: 물의 길,아이들 예매만 해주고 전 아직 못 봤기 때문에.. 9점..근데 아들 말로는 1편보다 재밌다고 하더군요.. 저도 어서 보는 날이 오기를...,9
영웅,시작부터 끝까지...울다 나왔어요독립운동을 하신 모든 분들께 진심으로 감사드립니다.꼭 한번은 봐야할 영화입니다. 역사에 관심이 많고 더 나은 나라에서 우리 애들이 살 수 있도록 하려면요...,10
아바타: 물의 길,… 좀 지루했다.. 내용은 애기들 보는것 같았고3시간 진짜 길었다.,1
헌트,이해도 안 가고 몰입도 안 되는데 난..,4
나 홀로 집에,2022년에도 또 보고있는 아들과 나!,10
아바타: 물의 길,"어떻게 이리 다른 경험을 선사해주는 것인지, 돌비 3D 덕인지, 영화 덕인지 모르겠다. 아마 둘 다인 듯 하다. 픽셀 하나까지 아름답다. 경이로운 영화. 3D 돌비로 보니 놀이공원 갈빠엔 이거 본다는 생각까지 든다.",10
영웅,"영화도 감동적이었고, 배우들의 노래와 연기가 인상적이었어요",10
아바타: 물의 길, 진짜 cg 멋지긴한데..중간에 진짜 지루함..어쩌라는 건지 모르겠음...스토리도..걍 단순..가족 지키자..그냥 그랬어요...마지막이 그래도 좀 재밌었고...,6
영웅,"뮤지컬을 워낙 좋아해서 기대하면서 봤는데 기대보다 훨씬 멋있고 잘 만들어진 영화였던 것 같아요. 몇몇 노래 장면의 연출이 조금 단순하거나 올드한 느낌을 주기도 했고 CG도 조금은  아쉽기도 했지만 그 모든걸 뛰어넘는 뮤지컬영화라는 새로운 시도와 배우들의 명연기, 노래 그리고 안중근 이라는 인물까지 진짜 다들 봐야되는 영화였습니다!!",10
영웅,몰입 할 수 없는 지저분한 영화올해 본 영화 중 최악반성하라.,1
불릿 트레인,약간 지루함. 액션은 볼만. 일본 칼 무술은 핵별로,4
아바타: 물의 길,더 나은 속편은 역시 어려움참신한 것도 없고 자다깨다 연속... 힘들게 버팀3편은 곧 나올듯 끝남,1
영웅,영화보고 가슴이 찡했어요 ㅜㅠ 훌쩍 #역사를 잊은 민족에게 미래는 없다! ,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",안 운 사람이 없을 정도인 영화..,10
영웅,"역사를 민족에겐 미래는 없다.오랜만에 감동 그리고 국뽕을 만끽하며, 일본이 우리 민족에게 한 치욕스럽고 악랄한 짓을 되새기며 국력을 키우는데 이바지 해야겠다.",10
영웅,내용도 역사적인 부분을 담아내고 있어서 좋았고 감동적이었어요.. 그리고 휴지 꼭 챙기시길,10
영웅,모든 배우님들 너무너무 멋있었어요~♡♡,10
귀못,할머니 연기가 압권이었음~ 공포감~,10
헤어질 결심,붕괴로 사랑을 표현했다 미결로 영원한 사랑으로 남았다 너무 눈물난다 내생에 최고의 영화였다,10
영웅,정성화님 노래 부를때마다 소름 돋았네요.,10
영웅,최고. 최고.   감동. ㅠ 뮤지컬로. 다시보고싶네요. ,10
영웅,안중근 역에 정성화 배우 캐스팅은 최고!자녀들과 같이 보면 좋을 영화.,9
영웅,감독이 감독이니만큼 감정을 뽑아내는건 잘 해내줍니다... 누군가에겐 눈물이 그렁그렁 할 수 밖에 없는 그런 것들 말이죠... 긴말까지는 필요 없을거 같고 일본에 대해 한번쯤은 되새겨봐줬으면 좋겠습니다... 일본 가서 돈 쓸 생각은 뒤로 미루고 말이죠,8
아바타: 물의 길,진짜 여기 댓글다는 사람들 양심 국 끓여 먹었냐? 아님 초딩이야 이게 잼있어? 참나,1
영웅,한국인이라면  꼭 봐야할 영화~,10
드라이브 마이 카,러닝타임 3시간에 대해서 우려를 가지게 되면 절대 극장에선 만날 수 없는 작품. 하지만 극장을 찾아 화면을 바라보는 순간부터 엔딩 크레딧이 올라갈 때까지 언제 3시간이 흘렀는지 자각하기 어려운 작품. 위로가 필요한 우리 모두의 마음에 잔잔한 응원과 토닥임을 선사한다. 맵거나 짜지 않아도 이런 독특한 맛을 발산하는 작품들이 있으며 영화광으로서 이런 만남들이 실로 반갑기 그지 없다.,10
늑대사냥,한국형 좀비+히어로+고어+액션+다이하드+하이스트+SF = ?!?!?!?  딴거는 몰라도 피뿌리기 하나는 확실! 이 정도 시도라면 박수 칠만! 대중 호평의 기대는 어려울듯. 공포 액션 고어 매니아라면 중상타! ,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",솔직히 ost 빼고는.. 그리고 후반부 그런전개를 할꺼면 루즈한 초반에 빌드업을 하지.. 갑자기 그런걸..,2
영웅,한국사자격증 준비하는동안에 영화를봤는데 정말 대한민국 국민인게 자랑스럽습니다대한민국 만세!,10
영웅,그렇게 애국으로 가는 길,7
영웅,이땅에 살고 있는 사람이라면 반드시 봐야할 영화,10
버즈 라이트이어,버즈 로봇 장난감의 원형의 역사가 담긴 이야기,7
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",최고다 진짜 내 인생영화..,10
영웅,"조연캐스팅을 보고 양념같은웃음요소가 있겠구나 기대했었는데...아, 뭔가 애매하고 오히려 감정선의 흐름마저 끊어지는 느낌이었음..정성화 김고은 진주의 노래로 귀는 호강했으나 뮤지컬은 역시 무대에서....",6
아바타: 물의 길,클래스는 역시 영원하다,7
영웅,보는내내 애국심이절로생기는명ㅏㄱ,10
날씨의 아이,일본이 수장되는 아름다운이야기,7
영웅,못난 조국이 죄인과 영웅을 만든다,10
긴급구원 더레스큐 ,충격과 공포.. ..  ㅡㅡ,1
영웅,"극적인 장면에서 노래를 불러야하기에 연출적인 매끄러움이 부족하다고 느껴질 수 있지만, 그럼에도 웅장한 사운드 덕분에 불구하고 더 극대화된 감정을 느낄 수 있었습니다. 쉽지 않은 넘버들을 연기와 함께 완벽하게 소화하는 배우들의 열정이 빛났습니다. ",10
영웅,"코믹과 감동이 섞여있는 너무 잘, 봤어요 정성화님 목소리 너무좋고 연기 잘하시네요",10
아바타: 물의 길,너무 기대를 많이 가면 안된다. 기대에 훨씬 못미침. 전편보다 스토리의 퀄리티가 떨어짐 보다가 졸뻔..ㅋ 간단하게 설명하자면 노.잼.,2
355,재밌던데 리뷰들 뭐 저리 오바하면서 까지 까내리는지 모르겠네.,10
영웅,모투 꼭 보세요~~~~^^,10
아바타: 물의 길," 러닝타임이 전혀 지루하지 않을 정도로 놀랍도록 재밌었어요. CG는 이제 인간의 영역은 넘어선 듯 합니다.ㅋㅋ 영화가 정말 아름다워요. 스토리나 OST 모두 흠 잡을 곳 없고, 보시게 된다면 절대 후회 없으실 겁니다. 강력 추천!!",10
나 홀로 집에,"메리 크리스마스, 케빈",10
레이니 데이 인 뉴욕,비오는 뉴욕의 감성으로만 봐도 최고의 영화,10
올빼미,"친구의 강력추천으로 봤는데 정말 재밌었어요!!!! 아바타에 밀려 상영관도 한군데, 그것도 조조와 심야밖에 없어서 심야를 봤는데 생각보다 관람객이 많았어요! 영화를 보기전엔 왜 안생긴 유해진을 왕역할을 시겼나 의문이 들었지만 우리는 영화를 보면서 유해진외엔 할 수 있는 배우가 없다고 바로 인정했어요! 긴장감에 끝까지 몰입하였고 무엇보다 출연진들이 서구적 성형배우들이 아니라서 보기 편하여 높은 점수를 줍니다!!!",10
나이브스 아웃: 글래스 어니언,역시 1편만큼이나 좋았습니다. ,10
영웅,뮤지컬영화는 처음 보는데 노래와 내용 모두 너무 감동적이고 볼만하네요!!,10
영웅,휴지 말고 수건 챙겨가세요 ,10
영웅,"뮤지컬과 영화의 만남. 영상으로 만들 수 있는 화면전환이 멋졌고, 안중근 의사의 삶에 대해 다시금 생각게 하는 영화였습니다.",9
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",일단 무조건 보세요 아니 전 제가 안울줄 알앗다니까요?ㅋ진짜 끅끅하면서 울엇다거요..,10
아바타: 물의 길,최고임 3d로보시길 추천드림,10
올빼미,재미있음,10
